epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,710.32,1.87419,2.50073,1.85343,0.2761,0.34021,0.22615,0.08249,1.58043,9.36207,1.5807,0.000555431,0.000555431,0.000555431
2,1401.31,1.89068,2.35414,1.84649,0.47687,0.42392,0.41293,0.17744,1.50236,3.9011,1.46344,0.0010836,0.0010836,0.0010836
3,2086.04,1.83114,2.2391,1.78714,0.51786,0.45868,0.45725,0.20993,1.44669,3.07186,1.43482,0.00158426,0.00158426,0.00158426
4,2769.46,1.77354,2.12279,1.75595,0.52559,0.48503,0.49686,0.22875,1.39952,4.20901,1.39644,0.00154323,0.00154323,0.00154323
5,3452.52,1.72726,2.02086,1.72024,0.59283,0.48988,0.52053,0.24484,1.38483,2.54099,1.36876,0.00150197,0.00150197,0.00150197
6,4136.06,1.69045,1.96908,1.68604,0.57668,0.50557,0.52969,0.25966,1.35607,2.0429,1.34016,0.00146071,0.00146071,0.00146071
7,4818.84,1.65954,1.89314,1.66543,0.58629,0.55108,0.57699,0.29215,1.28997,2.45552,1.3056,0.00141945,0.00141945,0.00141945
8,5501.36,1.63919,1.83798,1.64407,0.63058,0.54973,0.60095,0.30929,1.29078,2.22251,1.29899,0.00137819,0.00137819,0.00137819
9,6183.56,1.60954,1.77918,1.62484,0.62149,0.55427,0.60186,0.30068,1.27396,1.92797,1.26649,0.00133693,0.00133693,0.00133693
10,6865.84,1.59089,1.72972,1.6047,0.64745,0.56442,0.61598,0.31167,1.30268,1.96732,1.28811,0.00129568,0.00129568,0.00129568
11,7550.29,1.57717,1.69624,1.59676,0.62922,0.60108,0.63755,0.33693,1.26032,2.32238,1.2585,0.00125442,0.00125442,0.00125442
12,8234.01,1.56895,1.67761,1.59712,0.64386,0.59328,0.63961,0.34043,1.24498,1.96434,1.25423,0.00121316,0.00121316,0.00121316
13,8917.05,1.55682,1.64444,1.58615,0.67416,0.61022,0.6619,0.35122,1.2532,1.99024,1.25703,0.0011719,0.0011719,0.0011719
14,9599.72,1.55656,1.6131,1.57888,0.67902,0.61043,0.66663,0.36382,1.2189,1.93481,1.23865,0.00113064,0.00113064,0.00113064
15,10282.7,1.52198,1.56439,1.55596,0.68234,0.61721,0.67539,0.36876,1.22321,1.83507,1.23181,0.00108938,0.00108938,0.00108938
16,10965.5,1.51193,1.56155,1.55594,0.69141,0.61469,0.67924,0.36972,1.21918,1.64555,1.21796,0.00104813,0.00104813,0.00104813
17,11648.8,1.51389,1.54648,1.55625,0.69422,0.63443,0.69293,0.37998,1.21553,1.65158,1.23126,0.00100687,0.00100687,0.00100687
18,12331.7,1.49003,1.49706,1.53749,0.7006,0.63405,0.70207,0.38537,1.21275,1.62083,1.21732,0.00096561,0.00096561,0.00096561
19,13017.2,1.48928,1.49001,1.53799,0.706,0.64243,0.71276,0.39058,1.20075,1.62521,1.21934,0.000924352,0.000924352,0.000924352
20,13700.2,1.47572,1.47874,1.52314,0.71387,0.64632,0.71923,0.4018,1.18921,1.47833,1.20406,0.000883093,0.000883093,0.000883093
21,14383,1.46489,1.42293,1.51898,0.7141,0.64888,0.71631,0.39884,1.17863,1.37138,1.19842,0.000841835,0.000841835,0.000841835
22,15065.3,1.4583,1.41648,1.51268,0.7172,0.65157,0.71817,0.40309,1.1747,1.40806,1.19444,0.000800577,0.000800577,0.000800577
23,15747.9,1.43736,1.38184,1.5005,0.72491,0.65926,0.73006,0.41297,1.16905,1.28024,1.18433,0.000759318,0.000759318,0.000759318
24,16430.8,1.4375,1.37714,1.49273,0.72633,0.65699,0.73246,0.41298,1.17237,1.39329,1.19717,0.00071806,0.00071806,0.00071806
25,17113.4,1.42254,1.35124,1.48349,0.72801,0.67017,0.74194,0.42206,1.15514,1.21616,1.18195,0.000676802,0.000676802,0.000676802
26,17796.1,1.41088,1.32664,1.47493,0.72571,0.66937,0.7421,0.42464,1.15658,1.20197,1.17904,0.000635544,0.000635544,0.000635544
27,18479,1.40202,1.30399,1.46759,0.72623,0.67942,0.7471,0.42739,1.14615,1.32616,1.16832,0.000594286,0.000594286,0.000594286
28,19165.7,1.39314,1.29211,1.46268,0.72556,0.67244,0.74299,0.42463,1.15137,1.20512,1.1792,0.000553027,0.000553027,0.000553027
29,19848.4,1.38581,1.27619,1.45862,0.74616,0.67744,0.75405,0.43294,1.15059,1.15104,1.17843,0.000511769,0.000511769,0.000511769
30,20553.2,1.37146,1.25439,1.45464,0.74392,0.68167,0.75389,0.43255,1.14668,1.08304,1.1756,0.000470511,0.000470511,0.000470511
31,21244.3,1.37061,1.1517,1.46009,0.738,0.68092,0.75099,0.42879,1.1553,1.01944,1.18164,0.000429253,0.000429253,0.000429253
32,21925.8,1.35986,1.10833,1.45124,0.74538,0.67198,0.75188,0.43342,1.15006,1.05064,1.17732,0.000387994,0.000387994,0.000387994
33,22608,1.34812,1.08806,1.44039,0.7428,0.68249,0.75657,0.43762,1.14177,1.03401,1.1742,0.000346736,0.000346736,0.000346736
34,23290.1,1.32513,1.06369,1.42391,0.74621,0.68896,0.76033,0.44119,1.15219,1.00826,1.18108,0.000305478,0.000305478,0.000305478
35,24009.4,1.30818,1.02266,1.40406,0.73359,0.70845,0.76503,0.44444,1.14581,0.96813,1.18097,0.00026422,0.00026422,0.00026422
36,24692.6,1.30765,1.01552,1.40635,0.75036,0.69151,0.76731,0.44465,1.14621,0.9693,1.17849,0.000222961,0.000222961,0.000222961
37,25374.9,1.2853,0.99623,1.39567,0.77145,0.67501,0.76559,0.4456,1.14783,0.97613,1.1808,0.000181703,0.000181703,0.000181703
38,26058,1.26966,0.95169,1.38162,0.76941,0.68769,0.76873,0.44733,1.14781,0.94621,1.17997,0.000140445,0.000140445,0.000140445
39,26763.9,1.2467,0.92527,1.36702,0.77522,0.68477,0.77023,0.44889,1.14466,0.93441,1.17677,9.91865e-05,9.91865e-05,9.91865e-05
40,27446.3,1.24282,0.91553,1.36321,0.77325,0.68564,0.7699,0.44963,1.14293,0.92092,1.17717,5.79283e-05,5.79283e-05,5.79283e-05
