epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,538.003,1.78664,2.25007,1.69766,0.41806,0.40369,0.35501,0.13694,1.61503,6.78251,1.47166,0.000555352,0.000555352,0.000555352
2,1058.93,1.80721,2.07944,1.70514,0.44454,0.43071,0.39356,0.17298,1.49659,3.69678,1.40885,0.00105602,0.00105602,0.00105602
3,1539.04,1.75474,1.98644,1.65028,0.47588,0.43829,0.41951,0.18077,1.51006,5.52575,1.38866,0.00150168,0.00150168,0.00150168
4,2018.25,1.70759,1.87687,1.60829,0.57603,0.49662,0.51646,0.24583,1.41068,3.10975,1.29895,0.00141945,0.00141945,0.00141945
5,2497.7,1.64846,1.76854,1.56626,0.57471,0.49621,0.5233,0.2616,1.35108,2.34364,1.26436,0.00133693,0.00133693,0.00133693
6,2978.07,1.60346,1.65741,1.53253,0.61736,0.53513,0.56943,0.28799,1.33936,2.26198,1.24511,0.00125442,0.00125442,0.00125442
7,3457.65,1.57022,1.63156,1.51317,0.63263,0.56889,0.60207,0.30652,1.30802,2.82574,1.24027,0.0011719,0.0011719,0.0011719
8,3936.94,1.54485,1.55629,1.49478,0.64536,0.57431,0.62501,0.33005,1.284,1.96252,1.20574,0.00108938,0.00108938,0.00108938
9,4416.89,1.51323,1.50111,1.4808,0.63641,0.57571,0.61737,0.32253,1.27131,2.15903,1.21739,0.00100687,0.00100687,0.00100687
10,4898.15,1.49679,1.44632,1.46673,0.6631,0.59029,0.64756,0.34241,1.26351,1.80534,1.18682,0.000924352,0.000924352,0.000924352
11,5396.06,1.58927,1.53184,1.53328,0.67119,0.60376,0.65566,0.35491,1.26773,1.75126,1.20177,0.000841835,0.000841835,0.000841835
12,5899.07,1.56253,1.48199,1.5262,0.654,0.59514,0.6414,0.33842,1.26352,1.7906,1.19697,0.000759318,0.000759318,0.000759318
13,6388.57,1.53731,1.4115,1.51027,0.65658,0.61897,0.66053,0.35796,1.24509,1.84459,1.17396,0.000676802,0.000676802,0.000676802
14,6880.08,1.50308,1.37689,1.48135,0.6792,0.62235,0.67606,0.37113,1.21056,1.61783,1.15917,0.000594286,0.000594286,0.000594286
15,7358.12,1.49625,1.30557,1.48065,0.68219,0.63368,0.68896,0.38447,1.21296,1.45163,1.15826,0.000511769,0.000511769,0.000511769
16,7836.25,1.46986,1.28366,1.46199,0.71334,0.62976,0.70082,0.39122,1.19522,1.58791,1.1476,0.000429253,0.000429253,0.000429253
17,8313.39,1.43605,1.21878,1.43417,0.70364,0.64305,0.70584,0.39946,1.18009,1.36163,1.13508,0.000346736,0.000346736,0.000346736
18,8790.65,1.40435,1.17719,1.41773,0.72339,0.65223,0.71439,0.4034,1.18873,1.27259,1.14319,0.00026422,0.00026422,0.00026422
19,9267.94,1.38519,1.12949,1.39944,0.72718,0.66201,0.7267,0.41456,1.16586,1.39146,1.12233,0.000181703,0.000181703,0.000181703
20,9746.1,1.3541,1.09009,1.37464,0.72014,0.66387,0.73051,0.41911,1.16685,1.20694,1.1244,9.91865e-05,9.91865e-05,9.91865e-05
